TERRITORIO#en,TERRITORIO#es,TERRITORIO_CODE,TIME_PERIOD#en,TIME_PERIOD#es,TIME_PERIOD_CODE,TIPO_ALOJAMIENTO#en,TIPO_ALOJAMIENTO#es,TIPO_ALOJAMIENTO_CODE,MEDIDAS#en,MEDIDAS#es,MEDIDAS_CODE,PAIS_RESIDENCIA#en,PAIS_RESIDENCIA#es,PAIS_RESIDENCIA_CODE,OBS_VALUE,CONFIDENCIALIDAD_OBSERVACION#en,CONFIDENCIALIDAD_OBSERVACION#es,NOTAS_OBSERVACION,ESTADO_OBSERVACION#en,ESTADO_OBSERVACION#es,ESTADO_OBSERVACION_CODE
Canary Islands,Canarias,ES70,2025 Third quarter,2025 Tercer trimestre,2025-Q3,,Hotel 5 Estrellas,HOTEL_ESTRELLAS_5,,Turistas,TURISTAS,,Total,_T,325553,,,,,,
Canary Islands,Canarias,ES70,2025 Fourth quarter,2025 Cuarto trimestre,2025-Q4,,Hotel 5 Estrellas,HOTEL_ESTRELLAS_5,,Turistas,TURISTAS,,Total,_T,375931,,,,,,
Canary Islands,Canarias,ES70,2025,2025,2025,,Hotel 5 Estrellas,HOTEL_ESTRELLAS_5,,Turistas,TURISTAS,,Total,_T,1359445,,,,,,
Canary Islands,Canarias,ES70,2018 First quarter,2018 Primer trimestre,2018-Q1,,Hotel 5 Estrellas,HOTEL_ESTRELLAS_5,,Turistas,TURISTAS,Other,Otro,_O,63597,,,,,,
Canary Islands,Canarias,ES70,2018 Second quarter,2018 Segundo trimestre,2018-Q2,,Hotel 5 Estrellas,HOTEL_ESTRELLAS_5,,Turistas,TURISTAS,Other,Otro,_O,55946,,,,,,
Canary Islands,Canarias,ES70,2018 Third quarter,2018 Tercer trimestre,2018-Q3,,Hotel 5 Estrellas,HOTEL_ESTRELLAS_5,,Turistas,TURISTAS,Other,Otro,_O,54064,,,,,,
Canary Islands,Canarias,ES70,2018 Fourth quarter,2018 Cuarto trimestre,2018-Q4,,Hotel 5 Estrellas,HOTEL_ESTRELLAS_5,,Turistas,TURISTAS,Other,Otro,_O,83274,,,,,,
Canary Islands,Canarias,ES70,2018,2018,2018,,Hotel 5 Estrellas,HOTEL_ESTRELLAS_5,,Turistas,TURISTAS,Other,Otro,_O,256880,,,,,,
Canary Islands,Canarias,ES70,2019 First quarter,2019 Primer trimestre,2019-Q1,,Hotel 5 Estrellas,HOTEL_ESTRELLAS_5,,Turistas,TURISTAS,Other,Otro,_O,93002,,,,,,
Canary Islands,Canarias,ES70,2019 Second quarter,2019 Segundo trimestre,2019-Q2,,Hotel 5 Estrellas,HOTEL_ESTRELLAS_5,,Turistas,TURISTAS,Other,Otro,_O,75925,,,,,,
