PAIS_RESIDENCIA#es,PAIS_RESIDENCIA_CODE,TERRITORIO#es,TERRITORIO_CODE,TIME_PERIOD#es,TIME_PERIOD_CODE,NIVEL_INGRESOS#es,NIVEL_INGRESOS_CODE,MEDIDAS#es,MEDIDAS_CODE,OBS_VALUE,NOTAS_OBSERVACION,CONFIDENCIALIDAD_OBSERVACION#es,ESTADO_OBSERVACION#es,ESTADO_OBSERVACION_CODE
España (excluida Canarias),ES_XIC,Canarias,ES70,2023 Primer trimestre,2023-Q1,Total,_T,Turistas,TURISTAS,372430,,,,
España (excluida Canarias),ES_XIC,Canarias,ES70,2023 Segundo trimestre,2023-Q2,Total,_T,Turistas,TURISTAS,426773,,,,
España (excluida Canarias),ES_XIC,Canarias,ES70,2023 Tercer trimestre,2023-Q3,Total,_T,Turistas,TURISTAS,537679,,,,
España (excluida Canarias),ES_XIC,Canarias,ES70,2023 Cuarto trimestre,2023-Q4,Total,_T,Turistas,TURISTAS,373899,,,,
España (excluida Canarias),ES_XIC,Canarias,ES70,2023,2023,Total,_T,Turistas,TURISTAS,1710781,,,,
España (excluida Canarias),ES_XIC,Canarias,ES70,2024 Primer trimestre,2024-Q1,Total,_T,Turistas,TURISTAS,385920,,,,
España (excluida Canarias),ES_XIC,Canarias,ES70,2024 Segundo trimestre,2024-Q2,Total,_T,Turistas,TURISTAS,437163,,,,
España (excluida Canarias),ES_XIC,Canarias,ES70,2024 Tercer trimestre,2024-Q3,Total,_T,Turistas,TURISTAS,525530,,,,
España (excluida Canarias),ES_XIC,Canarias,ES70,2024 Cuarto trimestre,2024-Q4,Total,_T,Turistas,TURISTAS,386633,,,,
España (excluida Canarias),ES_XIC,Canarias,ES70,2024,2024,Total,_T,Turistas,TURISTAS,1735246,,,,
España (excluida Canarias),ES_XIC,Canarias,ES70,2025 Primer trimestre,2025-Q1,Total,_T,Turistas,TURISTAS,363475,,,,
España (excluida Canarias),ES_XIC,Canarias,ES70,2025 Segundo trimestre,2025-Q2,Total,_T,Turistas,TURISTAS,475973,,,,
España (excluida Canarias),ES_XIC,Canarias,ES70,2025 Tercer trimestre,2025-Q3,Total,_T,Turistas,TURISTAS,590627,,,,
España (excluida Canarias),ES_XIC,Canarias,ES70,2025 Cuarto trimestre,2025-Q4,Total,_T,Turistas,TURISTAS,391302,,,,
España (excluida Canarias),ES_XIC,Canarias,ES70,2025,2025,Total,_T,Turistas,TURISTAS,1822172,,,,
Alemania,DE,Canarias,ES70,2018 Primer trimestre,2018-Q1,Total,_T,Turistas,TURISTAS,738446,,,,
Alemania,DE,Canarias,ES70,2018 Segundo trimestre,2018-Q2,Total,_T,Turistas,TURISTAS,619059,,,,
Alemania,DE,Canarias,ES70,2018 Tercer trimestre,2018-Q3,Total,_T,Turistas,TURISTAS,622531,,,,
Alemania,DE,Canarias,ES70,2018 Cuarto trimestre,2018-Q4,Total,_T,Turistas,TURISTAS,765208,,,,
Alemania,DE,Canarias,ES70,2018,2018,Total,_T,Turistas,TURISTAS,2745244,,,,
Alemania,DE,Canarias,ES70,2019 Primer trimestre,2019-Q1,Total,_T,Turistas,TURISTAS,707077,,,,
Alemania,DE,Canarias,ES70,2019 Segundo trimestre,2019-Q2,Total,_T,Turistas,TURISTAS,510659,,,,
Alemania,DE,Canarias,ES70,2019 Tercer trimestre,2019-Q3,Total,_T,Turistas,TURISTAS,471718,,,,
Alemania,DE,Canarias,ES70,2019 Cuarto trimestre,2019-Q4,Total,_T,Turistas,TURISTAS,704680,,,,
Alemania,DE,Canarias,ES70,2019,2019,Total,_T,Turistas,TURISTAS,2394134,,,,
Alemania,DE,Canarias,ES70,2020 Primer trimestre,2020-Q1,Total,_T,Turistas,TURISTAS,552258,,,,
Alemania,DE,Canarias,ES70,2020 Segundo trimestre,2020-Q2,Total,_T,Turistas,TURISTAS,,,,Valor no disponible; el dato no existe,M
